xCoord,yCoord,words_name,words_color
-21.112642,5.023564,food,red
-46.951653,-115.9991,phood,green
5.3273,-60.80841,epitome,green
-75.11293,-86.59209,inviting,green
-62.434486,-10.58822,flare,green
-134.89268,-50.54654,cuisine,green
-69.77127,-123.19106,inattentive,green
-48.272762,-73.39201,architecture,green
78.40431,37.290283,chilaquiles,green
14.98017,65.05668,a1,green
-50.285526,134.68112,hustle,green
-66.93269,-50.353065,prohibition,green
48.71016,75.71821,krab,green
58.443954,-139.93193,amigo,green
105.39609,88.043594,canai,green
57.64457,-115.38508,influence,green
-22.35168,52.52041,westside,green
40.929707,-16.743135,restaraunt,green
34.16122,167.968,ignorant,green
-21.703045,-81.57321,mcmenamins,green
141.67053,-0.8317387,lacked,green
22.105833,7.133767,divey,green
126.21139,158.8597,tikka,green
67.70811,-10.99942,americanized,green
8.334487,-127.89901,waaaaay,green
-121.74424,-87.01207,region,green
113.49471,133.59996,saag,green
5.0431547,-34.969265,service,green
-48.310097,21.171242,rootbeer,green
-109.574066,0.037744284,malaysian,green
40.957817,32.9607,homestyle,green
45.98759,-52.748306,horrid,green
-77.46811,59.70471,expiry,green
7.7862644,-95.48382,improving,green
-102.251854,72.67081,greeted,green
-24.925966,-21.919771,tweetup,green
148.35005,-20.559011,lackluster,green
-0.67607903,-8.185123,restaurant,green
-21.38691,-47.702026,91,green
208.3085,87.773415,decorating,green
77.45285,-76.78709,responsive,green
26.486292,96.36799,potion,green
-45.5855,-153.91507,disrespectful,green
-92.351555,18.08075,persian,green
91.74991,128.89702,puri,green
4.217473,116.60836,sazon,green
124.12052,37.540527,sauteed,green
70.82597,79.92124,maduros,green
-48.760044,113.500145,bustling,green
213.30504,69.41869,decoration,green
3.6349943,29.114563,customizable,green
